DP04_0001E,DP03_0120PE,DP05_0001E,DP03_0119PE,zip code tabulation area
3290,33.7,6958,18.9,28762
4882,19.3,10314,9,28777
4490,20.6,9939,9.4,28778
897,5,1377,9.7,28902
586,0,1031,4.2,28909
11122,4.2,31085,2.4,28104
74,-666666666,340,0,28109
17168,4.7,39278,4.8,28117
1005,5.7,2262,3.4,28125
3868,17.5,7056,9.1,28128
4134,14.7,9394,7.6,28166
9416,23.4,15946,15.6,28203
22378,21.3,62533,13.8,28215
3456,13.6,5705,8.8,28305
8017,13.2,23385,11.6,28326
206,38.6,354,19.8,28332
3175,19.9,7357,13.9,28339
1830,23.5,4843,16.2,28341
13838,14.5,35673,11.9,28348
10736,40.4,25760,26.8,28352
15728,34.2,38760,23.7,28358
14131,8.1,34180,6.9,28409
1649,8.9,3845,10.3,28420
3483,33.1,7139,17.6,28114
3362,4.6,2371,4.2,28746
19793,14.7,42650,9.3,28806
9515,13.5,22205,9.4,28532
1552,11.7,2581,5.8,28618
1393,0,308,4.1,28646
826,38,1135,25.4,28683
2897,21.7,4874,10.3,28901
6683,17.9,12265,9.6,28584
3499,29.1,7259,16.4,28586
23104,16.5,51706,10.5,28601
548,24.5,994,23,28649
9392,16.6,7635,9,28604
935,56.2,970,18.2,28627
2946,33.6,4759,16.3,28640
1704,12.3,3100,8.5,28654
71,-666666666,125,47.9,28666
1304,6.5,3590,3.6,28670
696,0,1301,3.2,28682
4672,9.6,7459,6.4,28694
7231,2.4,13398,3,28711
10497,24.5,17044,14.5,28714
11667,13.6,21474,7.5,28739
1792,24.1,2758,7.9,28763
2213,5.6,4890,7.6,28356
31892,7.8,76811,5.4,28269
20042,19.3,40919,13,28403
6932,23.1,11268,11,28516
17312,18.7,35523,11,28607
2619,11.4,6577,7.7,28678
11915,32.8,24403,18.7,28379
1872,25.2,3800,17.3,28456
9813,27.1,21852,14.5,28504
17172,18.4,34945,10.6,28792
4502,14.5,11049,8.8,28134
11846,15.7,22694,9.4,28209
799,17.2,2071,10.8,28689
1049,17,603,9.5,28736
2967,11.9,7380,6.7,28107
2136,7.1,5469,4.1,28163
87,0,233,2.9,28342
0,-666666666,0,-666666666,28629
3312,2.9,6307,3.5,28673
5372,21.3,10152,13.9,28721
51,100,86,41.2,28039
35,0,118,0,28108
0,-666666666,0,-666666666,28244
0,-666666666,0,-666666666,28280
0,-666666666,0,-666666666,28282
30,0,607,0,28308
0,-666666666,6470,-666666666,28310
8553,23.5,19196,13.6,28312
61,11.1,135,11.4,28375
85,100,49,47.8,28424
19,0,3248,0,28533
126,20,279,10.3,28583
252,15,353,6,28587
177,5.4,494,10.8,28628
49,0,71,40.9,28647
0,-666666666,0,-666666666,28652
254,40.7,453,21.8,28667
16,-666666666,16,-666666666,28672
199,0,140,2.8,28720
3297,6,7488,4.7,28759
308,0,267,43,28775
4708,11.8,7811,6.8,28785
293,0,326,10,28553
375,0,617,5.4,28663
5274,24.3,12613,12.8,28748
4640,27.9,10138,13.6,28754
1778,25.5,2995,15,28905
939,51.8,973,16.4,28781
11956,19.4,20821,9.5,28786
6044,30.1,8759,13.3,28904
15468,11.7,39483,8.5,28273
11336,31.8,27225,19.4,28328
4672,36.4,9657,21.3,28340
5799,34.8,12107,24.7,28345
1494,26.9,2840,10.1,28349
119,-666666666,128,0,28350
7177,33.7,16886,24.7,28365
58,100,67,38.9,28367
3480,22.9,7026,15.2,28382
4595,24.1,11199,17.5,28384
10135,49.2,18334,27.5,28501
886,31.5,2699,21.9,28508
1206,9.6,2364,7.5,28523
845,4.3,2734,1.9,28582
6779,6.7,3697,4.7,28594
9539,21,22233,10.5,28613
1485,27.4,2109,16,28622
9576,13.9,21314,6.7,28787
622,0,1023,1.5,28434
3421,36.1,7131,18.7,28431
804,20,1619,11.3,28438
692,13.1,931,10.6,28439
15366,18.2,33435,8.9,28451
8641,39,18423,21.9,28472
2222,17.2,5114,8.2,28478
3849,15.2,8512,11.4,28518
928,28.9,1961,13.9,28538
2065,8.5,5153,7.5,28543
227,0,388,0,28577
4695,37.9,12874,20.6,28580
207,-666666666,285,7.2,28581
12536,18.8,29105,10.4,28602
206,0,252,0,28616
1852,5.6,2474,3.9,28626
2655,27.1,5890,16.9,28642
25004,22.4,54594,14.1,28655
11223,18.3,25636,10,28681
960,33,1979,20.3,28685
2709,10.5,3941,6.4,28692
6578,28.2,13638,13.8,28697
1560,18.3,3224,9.7,28701
3865,23.1,8025,17.6,28719
1553,13.7,3219,6.3,28726
4388,13.2,8354,7.6,28731
2529,0,1008,8.8,28774
7775,28.8,13683,17.1,28801
17359,8.9,33756,4.6,28803
398,28.1,566,14.4,28511
4608,20.9,10321,19.4,28513
1198,33.3,2919,21.2,28525
1135,18.6,1361,8.5,28531
20273,14.1,46338,8.9,28546
133,-666666666,168,0,28554
4099,6.7,3428,3.3,28605
796,12.8,1162,14.4,28611
16185,14.5,39518,9.5,28625
5625,21.2,12338,11.9,28612
748,25.5,1537,14.3,28619
857,39.4,1339,13.9,28624
5584,19.7,11698,12.7,28638
2034,23.7,3521,10.5,28643
9832,33.4,21229,18.8,28659
1511,25.4,2377,12.6,28665
1396,11.5,2663,9.1,28669
